#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_6	149339	149545	-	LPARA_02273	7.5	9.6		RefSeq:WP_022668584.1, SO:0001217, UniParc:UPI0003B728F9, UniRef:UniRef100_A0A0E2M168, UniRef:UniRef50_Q037G1, UniRef:UniRef90_Q037G1
contig_6	155151	155252	+	LPARA_02278	3.4	12.0		SO:0001217, UniParc:UPI0000E5696A, UniRef:UniRef100_Q037G6, UniRef:UniRef50_A0A806E5A5, UniRef:UniRef90_A0A806E5A5
contig_6	164563	164874	+	LPARA_02287	11.7	9.5		RefSeq:WP_003659259.1, SO:0001217, UniParc:UPI0000511108, UniRef:UniRef100_Q037H5, UniRef:UniRef50_Q037H5, UniRef:UniRef90_Q037H5
contig_6	204148	204291	+	LPARA_02333	5.2	9.5		SO:0001217, UniParc:UPI0001978E72, UniRef:UniRef100_S2NCX1, UniRef:UniRef50_S2NCX1, UniRef:UniRef90_S2NCX1
contig_7	106755	106970	-	LPARA_02437	7.9	10.2		
contig_8	4130	4726	-	LPARA_02447	23.2	6.9		SO:0001217, UniRef:UniRef50_A0A0R1QKY2, UniRef:UniRef90_A0A8E0M5H4
contig_8	4710	5045	-	LPARA_02448	12.6	11.3		RefSeq:WP_010493201.1, SO:0001217, UniParc:UPI0000510C39, UniRef:UniRef100_Q03BN7, UniRef:UniRef50_Q03BN7, UniRef:UniRef90_Q03BN7
contig_8	9579	10157	-	LPARA_02451	21.8	9.3		
contig_8	13859	14125	-	LPARA_02457	10.2	9.6		RefSeq:WP_016367330.1, SO:0001217, UniParc:UPI000343C131, UniRef:UniRef100_A0A829GHI9, UniRef:UniRef50_Q03BP6, UniRef:UniRef90_Q03BP6
contig_8	14137	14415	-	LPARA_02458	10.3	9.8		SO:0001217, UniRef:UniRef50_A0A806LJ82, UniRef:UniRef90_A0A806LIB6
contig_8	14624	14782	-	LPARA_02459	6.1	8.8		SO:0001217, UniRef:UniRef50_Q03BP8, UniRef:UniRef90_Q03BP8
contig_8	15059	15313	-	LPARA_02461	9.5	11.5		SO:0001217, UniRef:UniRef50_A0A806LF07, UniRef:UniRef90_A0A829TEV5
contig_8	23377	23490	-	LPARA_02470	4.0	5.6		SO:0001217, UniRef:UniRef50_A0A806LF07, UniRef:UniRef90_A0A806LF07
contig_8	23487	23579	-	LPARA_02471	3.3	5.7		
contig_8	27759	27971	-	LPARA_02474	8.3	10.8		SO:0001217, UniRef:UniRef50_A0A8B3GTM9, UniRef:UniRef90_A0A8B3GTM9
contig_8	30014	30172	-	LPARA_02478	6.4	9.3		SO:0001217, UniRef:UniRef50_A0A806LDE8, UniRef:UniRef90_UPI0021C2FEC6
contig_8	35434	35706	-	LPARA_02485	11.2	7.8		
contig_8	50621	50896	+	LPARA_02498	10.1	9.9		
contig_8	51479	51790	-	LPARA_02499	11.3	5.0	PF00582.32|Usp	PFAM:PF00582.32
contig_8	57736	57855	+	LPARA_02505	4.7	9.9		SO:0001217, UniRef:UniRef50_A0A8B3GLM6, UniRef:UniRef90_A0A8B3GLM6
contig_8	68448	68678	-	LPARA_02516	8.7	4.3		RefSeq:WP_016367615.1, SO:0001217, UniParc:UPI000343BB77, UniRef:UniRef100_A0A0C9QBS2, UniRef:UniRef50_Q03BL8, UniRef:UniRef90_Q03BL8
contig_8	70586	71032	+	LPARA_02519	17.0	5.0		
contig_8	72386	72622	-	LPARA_02525	8.6	8.6		SO:0001217, UniRef:UniRef50_Q03BM4
contig_8	75155	75400	-	LPARA_02527	9.3	4.1		SO:0001217, UniRef:UniRef50_Q03BM6, UniRef:UniRef90_A0A0C9PVR8
contig_9	8804	9178	-	LPARA_02540	14.3	9.5		RefSeq:WP_003566031.1, SO:0001217, UniParc:UPI0000E56943, UniRef:UniRef100_Q037S7, UniRef:UniRef50_Q037S7, UniRef:UniRef90_Q037S7
contig_9	22751	23050	+	LPARA_02553	11.4	5.7		RefSeq:WP_016384301.1, SO:0001217, UniParc:UPI0003436EBA, UniRef:UniRef100_UPI0003436EBA, UniRef:UniRef50_Q037R3, UniRef:UniRef90_Q037R3
contig_9	31847	32068	+	LPARA_02565	8.2	11.5		SO:0001217, UniParc:UPI000343CAAA, UniRef:UniRef100_A0A422M4Z7, UniRef:UniRef50_A0A422M4Z7, UniRef:UniRef90_A0A422M4Z7
contig_9	36986	37228	+	LPARA_02569	8.9	10.3		
contig_9	51735	52109	-	LPARA_02582	14.5	9.3		RefSeq:WP_003566829.1, SO:0001217, UniParc:UPI000176A6D2, UniRef:UniRef100_A0A0K1MV11, UniRef:UniRef50_Q037N8, UniRef:UniRef90_Q037N8
contig_9	64071	64595	-	LPARA_02596	18.6	9.6		RefSeq:WP_003566817.1, SO:0001217, UniParc:UPI0000E56958, UniRef:UniRef100_Q037M8, UniRef:UniRef50_Q037M8, UniRef:UniRef90_Q037M8
contig_10	8899	9147	+	LPARA_02609	9.3	8.1		SO:0001217, UniParc:UPI0002F02E42, UniRef:UniRef100_A0A0M6WA15, UniRef:UniRef50_Q03CA7, UniRef:UniRef90_Q03CA7
contig_10	19986	20549	+	LPARA_02620	21.8	6.4		RefSeq:WP_016369475.1, SO:0001217, UniParc:UPI000343654B, UniRef:UniRef100_A0A8E0MAV9, UniRef:UniRef50_Q03C95, UniRef:UniRef90_Q03C95
contig_10	39659	39913	+	LPARA_02641	9.6	9.9		RefSeq:WP_014951581.1, SO:0001217, UniParc:UPI0001979F21, UniRef:UniRef100_A0A0M6W8U0, UniRef:UniRef50_A0A0M6W8U0, UniRef:UniRef90_A0A0M6W8U0
contig_10	40844	41128	-	LPARA_02642	10.3	4.1		RefSeq:WP_225366429.1, SO:0001217, UniParc:UPI001CDAAF55, UniRef:UniRef100_UPI001CDAAF55, UniRef:UniRef50_UPI0021C377A3, UniRef:UniRef90_UPI0021C377A3
contig_10	41503	41631	+	LPARA_02643	4.8	9.5		
contig_11	10314	10628	-	LPARA_02678	12.1	6.1		RefSeq:WP_016384618.1, SO:0001217, UniParc:UPI000343E7BB, UniRef:UniRef100_UPI000343E7BB, UniRef:UniRef50_F9UM45, UniRef:UniRef90_Q03AX1
contig_11	39692	39853	-	LPARA_02708	6.1	8.3		RefSeq:WP_003563998.1, SO:0001217, UniParc:UPI00019CA1DA, UniRef:UniRef100_A0A0K1KYA5, UniRef:UniRef50_Q03B01, UniRef:UniRef90_Q03B01
contig_11	43108	44043	-	LPARA_02710	34.4	6.6		SO:0001217, UniRef:UniRef50_Q03B03, UniRef:UniRef90_Q03B03
contig_12	50027	50275	+	LPARA_02769	8.7	10.2		RefSeq:WP_003577532.1, SO:0001217, UniParc:UPI0001979889, UniRef:UniRef100_A0A0K1MR79, UniRef:UniRef50_A0A826HVU8, UniRef:UniRef90_A0A0K1MR79
contig_13	45	275	+	LPARA_02770	7.8	4.5		
contig_13	3438	3677	-	LPARA_02774	8.9	5.7		RefSeq:WP_032791034.1, SO:0001217, UniParc:UPI000516F695, UniRef:UniRef100_A0AAP4N5D0, UniRef:UniRef50_A0AAP4N5D0, UniRef:UniRef90_A0AAP4N5D0
contig_13	3930	4073	-	LPARA_02775	5.6	7.9		RefSeq:WP_158423317.1, SO:0001217, UniParc:UPI000A428E93, UniRef:UniRef100_A0AAP4N5I8, UniRef:UniRef50_A0AAP4N5I8, UniRef:UniRef90_A0AAP4N5I8
contig_13	16111	16446	-	LPARA_02790	12.8	5.7		RefSeq:WP_003569937.1, SO:0001217, UniParc:UPI0000E56843, UniRef:UniRef100_Q03A38, UniRef:UniRef50_Q03A38, UniRef:UniRef90_Q03A38
contig_14	3045	3236	+	LPARA_02823	7.4	5.2		RefSeq:WP_003566008.1, SO:0001217, UniParc:UPI000176A5A6, UniRef:UniRef100_K6S0G7, UniRef:UniRef50_Q037T9, UniRef:UniRef90_Q037T9
contig_14	34426	34608	-	LPARA_02852	6.6	12.0		RefSeq:WP_016384929.1, SO:0001217, UniParc:UPI000343892E, UniRef:UniRef100_UPI000343892E, UniRef:UniRef50_Q037W9, UniRef:UniRef90_Q037W9
contig_15	47	517	-	LPARA_02860	17.5	8.0		
contig_15	3186	4271	+	LPARA_02863	40.9	10.1	PF06030.18|WxLIP_PGBD, PF11797.14|WxLIP_HBD	PFAM:PF06030.18, PFAM:PF11797.14, RefSeq:WP_045626882.1, SO:0001217, UniParc:UPI0005F131B0, UniRef:UniRef100_A0A0C9PK92, UniRef:UniRef50_A0A0C9PK92, UniRef:UniRef90_A0A0C9PK92
contig_15	28523	28858	+	LPARA_02879	12.6	9.7		RefSeq:WP_045625240.1, SO:0001217, UniParc:UPI0005DAB730, UniRef:UniRef100_A0A0C9PUX3, UniRef:UniRef50_A0A829HBU7, UniRef:UniRef90_A0A829HBU7
contig_16	17657	18469	-	LPARA_02891	29.0	7.1		
contig_17	5141	5494	-	LPARA_02896	13.1	6.8		SO:0001217, UniRef:UniRef50_Q03AV1, UniRef:UniRef90_Q03AV1
contig_18	1468	1698	-	LPARA_02927	8.5	4.6		SO:0001217, UniParc:UPI0005E90EE1, UniRef:UniRef100_A0A0C9QEI5, UniRef:UniRef50_A0A0C9QEI5, UniRef:UniRef90_A0A0C9QEI5
contig_18	2775	3584	-	LPARA_02930	30.7	9.7		SO:0001217, UniRef:UniRef50_A0AAP4NC00, UniRef:UniRef90_A0AAP4NC00
contig_23	1	552	+	LPARA_02939	17.9	4.1		
