# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	634431	634988	+	LPARA_00609	pth	aminoacyl-tRNA hydrolase	EC:3.1.1.29, GO:0004045, GO:0005737, GO:0006412, RefSeq:WP_003567642.1, SO:0001217, UniParc:UPI000176A6E5, UniRef:UniRef100_B3WAP7, UniRef:UniRef50_A5VI57, UniRef:UniRef90_Q034V1
contig_1	cds	635061	638585	+	LPARA_00610	mfd	transcription-repair coupling factor	COG:COG1197, COG:LK, EC:5.6.2.4, GO:0003684, GO:0005524, GO:0006281, KEGG:K03723, RefSeq:WP_003662708.1, SO:0001217, UniParc:UPI00019C8AC3, UniRef:UniRef100_UPI00019C8AC3, UniRef:UniRef50_A0A1H7W4R1, UniRef:UniRef90_Q034V2
contig_1	cds	638706	640283	+	LPARA_00611	ytgP	Putative cell division protein YtgP	RefSeq:WP_003588964.1, SO:0001217, UniParc:UPI0000510E29, UniRef:UniRef100_Q034V3, UniRef:UniRef50_A0A0R2FQJ5, UniRef:UniRef90_A0A422M5T6
contig_1	cds	640287	640550	+	LPARA_00612	hslR	RNA-binding S4 domain-containing protein	COG:COG1188, COG:J, RefSeq:WP_003567635.1, SO:0001217, UniParc:UPI0000E56A46, UniRef:UniRef100_Q034V4, UniRef:UniRef50_P37557, UniRef:UniRef90_A0A4Q1TV59
contig_1	cds	640620	641051	+	LPARA_00613		Septum formation initiator	KEGG:K13052, SO:0001217, UniParc:UPI00019C8AC5, UniRef:UniRef100_Q034V5, UniRef:UniRef50_A0A0E3CLW2, UniRef:UniRef90_Q034V5
contig_1	cds	641407	641892	+	LPARA_00614	yabR	S1 domain-containing RNA-binding protein	COG:COG1098, COG:R, GO:0003676, RefSeq:WP_003567630.1, SO:0001217, UniParc:UPI0000E56A44, UniRef:UniRef100_Q034V6, UniRef:UniRef50_A0A653I4T8, UniRef:UniRef90_Q034V6
contig_1	cds	641970	643280	+	LPARA_00615		tRNA(Ile)-lysidine synthase	EC:6.3.4.19, KEGG:K04075, SO:0001217, UniRef:UniRef50_Q034V7, UniRef:UniRef90_Q034V7
contig_1	cds	643277	643822	+	LPARA_00616	hpt	hypoxanthine phosphoribosyltransferase	COG:COG0634, COG:F, EC:2.4.2.8, GO:0006166, KEGG:K00760, RefSeq:WP_003567626.1, SO:0001217, UniParc:UPI0000E56A42, UniRef:UniRef100_Q034V8, UniRef:UniRef50_P37472, UniRef:UniRef90_A0A5R8LMQ0
contig_1	cds	643884	646031	+	LPARA_00617	ftsH	ATP-dependent zinc metalloprotease FtsH	COG:COG0465, COG:O, GO:0004222, GO:0006508, GO:0016020, GO:0016887, GO:0051301, RefSeq:WP_003662715.1, SO:0001217, UniParc:UPI00019C8B8B, UniRef:UniRef100_A0A806LD55, UniRef:UniRef50_Q88Z31, UniRef:UniRef90_S2ND99
contig_1	cds	646439	647338	+	LPARA_00618		WxL domain-containing protein	SO:0001217, UniRef:UniRef50_Q034W4, UniRef:UniRef90_Q034W4
contig_1	cds	647595	648479	+	LPARA_00619	hslO	Hsp33 family molecular chaperone HslO	GO:0005737, GO:0006457, GO:0042026, GO:0044183, GO:0051082, KEGG:K04083, RefSeq:WP_003576457.1, SO:0001217, UniParc:UPI000176A655, UniRef:UniRef100_B3WAN3, UniRef:UniRef50_Q8YAC4, UniRef:UniRef90_Q034W5
contig_1	cds	648542	649543	+	LPARA_00620	dusB	tRNA dihydrouridine synthase DusB	COG:COG0042, COG:J, EC:1.-.-.-, EC:1.3.1.-, GO:0008033, GO:0017150, GO:0050660, KEGG:K05540, RefSeq:WP_003591945.1, SO:0001217, UniParc:UPI0002977C35, UniRef:UniRef100_A0A422LZV9, UniRef:UniRef50_P37567, UniRef:UniRef90_A0A0D6U4Q0
contig_1	cds	649680	651179	+	LPARA_00621	lysS	lysine--tRNA ligase	COG:COG1190, COG:J, EC:6.1.1.6, GO:0004824, GO:0005524, GO:0005737, GO:0006430, KEGG:K04567, RefSeq:WP_003567617.1, SO:0001217, UniParc:UPI00020424D8, UniRef:UniRef100_S4ZQV2, UniRef:UniRef50_Q38V83, UniRef:UniRef90_Q034W7
contig_2	cds	141	1091	-	LPARA_00622		Diacylglycerol kinase family protein	RefSeq:WP_003570166.1, SO:0001217, UniParc:UPI00019C9816, UniRef:UniRef100_A0A0C9PXE5, UniRef:UniRef50_A0A0R2BAB2, UniRef:UniRef90_Q039P2
contig_2	cds	1381	3063	-	LPARA_00623	rnjA	ribonuclease J1	COG:COG0595, COG:J, SO:0001217, UniRef:UniRef50_Q039P1, UniRef:UniRef90_Q039P1
contig_2	cds	3068	3280	-	LPARA_00624	rpoY	DNA-directed RNA polymerase subunit epsilon	COG:COG5503, COG:KV, EC:2.7.7.6, GO:0000428, GO:0001054, GO:0001055, GO:0001056, GO:0001057, GO:0001058, GO:0001066, GO:0003677, RefSeq:WP_003565214.1, SO:0001217, UniParc:UPI0000510C03, UniRef:UniRef100_Q039P0, UniRef:UniRef50_Q5FKT3, UniRef:UniRef90_Q039P0
contig_2	cds	3900	4349	+	LPARA_00625		DUF5590 domain-containing protein	SO:0001217, UniRef:UniRef50_C2JWS8, UniRef:UniRef90_A0A829GF45
contig_2	cds	4380	4673	+	LPARA_00626		hypothetical protein	RefSeq:WP_016374966.1, SO:0001217, UniParc:UPI0003438918, UniRef:UniRef100_S2R7Z6, UniRef:UniRef50_Q039N8, UniRef:UniRef90_Q039N8
contig_2	cds	4737	5291	-	LPARA_00627	def	peptide deformylase	COG:COG0242, COG:J, EC:3.5.1.88, GO:0006412, GO:0036211, GO:0042586, GO:0043686, GO:0046872, KEGG:K01462, RefSeq:WP_003565220.1, SO:0001217, UniParc:UPI0000E5686A, UniRef:UniRef100_Q039N7, UniRef:UniRef50_Q88VB2, UniRef:UniRef90_Q039N7
contig_2	ncRNA-region	5683	5846	+			M-box riboswitch aptamer (ykoK leader)	RFAM:RF00380, SO:0000140
contig_2	cds	6064	6879	+	LPARA_00628		ATPase	SO:0001217, UniRef:UniRef50_A0AAD1ANW9, UniRef:UniRef90_A0A8B3GUF5
contig_2	cds	7140	8252	+	LPARA_00629	pdhA	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	COG:C, COG:COG1071, GO:0004739, GO:0006086, GO:0045254, SO:0001217, UniRef:UniRef50_F9UQ93, UniRef:UniRef90_A0A171J9C0
contig_2	cds	8255	9232	+	LPARA_00630	acoB	Alpha-ketoacid dehydrogenase subunit beta	COG:C, COG:COG0022, RefSeq:WP_003565225.1, SO:0001217, UniParc:UPI000176ABAF, UniRef:UniRef100_A0A0K1KZA4, UniRef:UniRef50_P21882, UniRef:UniRef90_A0A0K1KZA4
contig_2	cds	9250	10914	+	LPARA_00631		Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	RefSeq:WP_016384333.1, SO:0001217, UniParc:UPI0003436492, UniRef:UniRef100_UPI0003436492, UniRef:UniRef50_Q9CJD7, UniRef:UniRef90_B5QT94
contig_2	cds	10917	12320	+	LPARA_00632	lpdA	dihydrolipoyl dehydrogenase	COG:C, COG:COG1249, EC:1.8.1.4, GO:0004148, GO:0050660, KEGG:K00382, RefSeq:WP_016384332.1, SO:0001217, UniParc:UPI000343729B, UniRef:UniRef100_UPI000343729B, UniRef:UniRef50_P11959, UniRef:UniRef90_A0A0E3CMX6
contig_2	cds	12557	13447	+	LPARA_00633		L-lactate dehydrogenase	RefSeq:WP_016384331.1, SO:0001217, UniParc:UPI000343E5C6, UniRef:UniRef100_A0AAX1W8D6, UniRef:UniRef50_A0A8B3GUH7, UniRef:UniRef90_A0A8B3GUH7
contig_2	cds	13437	13718	+	LPARA_00634		putative protein family (UPF0223)	RefSeq:WP_003565234.1, SO:0001217, UniParc:UPI0000510E5B, UniRef:UniRef100_Q039N0, UniRef:UniRef50_A0A0R1JTM2, UniRef:UniRef90_Q039N0
contig_2	cds	13721	14512	+	LPARA_00635		Inositol-1-monophosphatase	RefSeq:WP_003565236.1, SO:0001217, UniParc:UPI0000510E5A, UniRef:UniRef100_Q039M9, UniRef:UniRef50_A0A422M622, UniRef:UniRef90_A0A422M622
contig_2	cds	14771	16615	+	LPARA_00636	typA	translational GTPase TypA	COG:COG1217, COG:T, GO:0003924, GO:0005525, GO:0006412, GO:0006950, RefSeq:WP_003570179.1, SO:0001217, UniParc:UPI0000510E59, UniRef:UniRef100_Q039M8, UniRef:UniRef50_A0A0R2DHU7, UniRef:UniRef90_A0A5R8M2B5
contig_2	cds	16855	18024	+	LPARA_00637	ftsW	putative peptidoglycan glycosyltransferase FtsW	KEGG:K03588, RefSeq:WP_016384330.1, SO:0001217, UniParc:UPI00034390A5, UniRef:UniRef100_A0AAP5HLR2, UniRef:UniRef50_Q039M7, UniRef:UniRef90_Q039M7
contig_2	cds	18017	21454	+	LPARA_00638	pycA	pyruvate carboxylase	COG:C, COG:COG1038, EC:6.4.1.1, GO:0004736, GO:0005524, GO:0006090, GO:0006094, GO:0009374, GO:0046872, KEGG:K01958, RefSeq:WP_016384329.1, SO:0001217, UniParc:UPI0003435454, UniRef:UniRef100_UPI0003435454, UniRef:UniRef50_C2JWU2, UniRef:UniRef90_C2JWU2
contig_2	cds	21451	21828	+	LPARA_00639		UPF0298 protein BN194_15180	SO:0001217, UniParc:UPI0000510E56, UniRef:UniRef100_A0A422M5Y8, UniRef:UniRef90_S2RTW4
contig_2	cds	21815	22381	+	LPARA_00640	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	EC:2.1.1.171, GO:0031167, GO:0052913, KEGG:K08316, RefSeq:WP_003565250.1, SO:0001217, UniParc:UPI0000510E55, UniRef:UniRef100_Q039M4, UniRef:UniRef50_A0A976RRC3, UniRef:UniRef90_A0A1S2AJY5
contig_2	cds	22374	22877	+	LPARA_00641	coaD	pantetheine-phosphate adenylyltransferase	EC:2.7.7.3, GO:0004595, GO:0005524, GO:0005737, GO:0015937, KEGG:K00954, RefSeq:WP_003565253.1, SO:0001217, UniParc:UPI0000510E54, UniRef:UniRef100_Q039M3, UniRef:UniRef50_Q039M3, UniRef:UniRef90_Q039M3
contig_2	cds	22933	23937	+	LPARA_00642	sepM	SepM family pheromone-processing serine protease	EC:3.4.21.-, SO:0001217, UniRef:UniRef50_A0AAE8LWS1, UniRef:UniRef90_A0A826HHW9
contig_2	cds	24051	24734	+	LPARA_00643	comE	ComE operon protein 1	RefSeq:WP_016384328.1, SO:0001217, UniParc:UPI000343C951, UniRef:UniRef100_UPI000343C951, UniRef:UniRef50_A0A0R2N1H4, UniRef:UniRef90_A0A8B3GUJ0
contig_2	cds	24731	26935	+	LPARA_00644		Hydrolase	KEGG:K02238, RefSeq:WP_260340884.1, SO:0001217, UniParc:UPI0021A74720, UniRef:UniRef100_UPI0021A74720, UniRef:UniRef50_A0A8E0IL13, UniRef:UniRef90_A0A8E0IL13
contig_2	cds	26922	27965	+	LPARA_00645	holA	DNA polymerase III subunit delta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, RefSeq:WP_003579020.1, SO:0001217, UniParc:UPI0000511411, UniRef:UniRef100_Q039L5, UniRef:UniRef50_A0A5R8M2Q2, UniRef:UniRef90_Q039L5
contig_2	cds	28056	28310	-	LPARA_00646	rpsT	30S ribosomal protein S20	COG:COG0268, COG:J, GO:0003723, GO:0003735, GO:0005829, GO:0005840, GO:0006412, GO:0015935, GO:0070181, KEGG:K02968, RefSeq:WP_003565265.1, SO:0001217, UniParc:UPI0000E56871, UniRef:UniRef100_Q039L4, UniRef:UniRef50_Q831Q7, UniRef:UniRef90_Q039L4
contig_2	cds	28558	28827	+	LPARA_00647	rpsO	30S ribosomal protein S15	COG:COG0184, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, RefSeq:WP_003565267.1, SO:0001217, UniParc:UPI0000E56872, UniRef:UniRef100_Q039L3, UniRef:UniRef50_Q1GVQ9, UniRef:UniRef90_Q039L3
contig_2	cds	29019	29714	+	LPARA_00648		hypothetical protein	RefSeq:WP_016384323.1, SO:0001217, UniParc:UPI000343E2EC, UniRef:UniRef100_UPI000343E2EC, UniRef:UniRef50_Q039L2, UniRef:UniRef90_Q039L2
contig_2	cds	29890	31572	+	LPARA_00649	rnjA	Ribonuclease J	COG:COG0595, COG:J, RefSeq:WP_003565271.1, SO:0001217, UniParc:UPI00005113F0, UniRef:UniRef100_Q039L1, UniRef:UniRef50_Q8K7S6, UniRef:UniRef90_Q039L1
contig_2	cds	31659	32570	+	LPARA_00650		BS_ysoA related protein with TPR repeats	RefSeq:WP_016384322.1, SO:0001217, UniParc:UPI000343A8EE, UniRef:UniRef100_UPI000343A8EE, UniRef:UniRef50_A0A0R1EWN2, UniRef:UniRef90_A0A422MBG4
contig_2	cds	32781	33971	+	LPARA_00651	tuf	elongation factor Tu	COG:COG0050, COG:J, GO:0003746, GO:0003924, GO:0005525, GO:0005829, GO:0006414, RefSeq:WP_003565275.1, SO:0001217, UniParc:UPI00005113F2, UniRef:UniRef100_Q039K9, UniRef:UniRef50_Q8Y422, UniRef:UniRef90_Q039K9
contig_2	cds	34425	36161	+	LPARA_00652		Putative multidrug export ATP-binding/permease protein	RefSeq:WP_353801571.1, SO:0001217, UniParc:UPI0033956378, UniRef:UniRef100_UPI0033956378, UniRef:UniRef50_A0A8B3HFN2, UniRef:UniRef90_A0A8B3HFN2
contig_2	cds	36352	37689	+	LPARA_00653		Trigger factor	SO:0001217, UniRef:UniRef50_Q8Y7L0
contig_2	cds	37884	39134	+	LPARA_00654	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	COG:COG1219, COG:O, GO:0005524, GO:0008270, GO:0016887, GO:0046983, RefSeq:WP_003565281.1, SO:0001217, UniParc:UPI000176AC4F, UniRef:UniRef100_A0A1J3C4X6, UniRef:UniRef50_Q9ZCN1, UniRef:UniRef90_A0A0D6U532
contig_2	cds	39352	39948	+	LPARA_00655	yihA	ribosome biogenesis GTP-binding protein YihA/YsxC	GO:0000917, GO:0003924, GO:0005525, GO:0005737, GO:0005829, GO:0042254, GO:0043022, GO:0046872, RefSeq:WP_003565283.1, SO:0001217, UniParc:UPI00005113C1, UniRef:UniRef100_Q039K2, UniRef:UniRef50_Q180E5, UniRef:UniRef90_Q039K2
contig_2	cds	39952	40242	+	LPARA_00656	mazG	MazG nucleotide pyrophosphohydrolase domain protein	RefSeq:WP_003565285.1, SO:0001217, UniParc:UPI00005113C0, UniRef:UniRef100_Q039K1, UniRef:UniRef50_E7FMZ8, UniRef:UniRef90_A0A8B3GUA0
contig_2	cds	40286	40447	-	LPARA_00657		SPJ_0845 family protein	RefSeq:WP_003565287.1, SO:0001217, UniParc:UPI000176AC50, UniRef:UniRef100_A0A1J3C1L0, UniRef:UniRef50_A0A5R8M290, UniRef:UniRef90_Q039K0
contig_2	cds	40602	42059	+	LPARA_00658	hisJ	Amino acid ABC transporter membrane protein, PAAT family / amino acid ABC transporter substrate-binding protein, PAAT family	COG:COG0834, COG:ET, RefSeq:WP_016368136.1, SO:0001217, UniParc:UPI0003434266, UniRef:UniRef100_A0A243PPZ9, UniRef:UniRef50_G2KVR6, UniRef:UniRef90_Q039J9
contig_2	cds	42049	42795	+	LPARA_00659	glnQ	Amino acid ABC transporter ATP-binding protein	COG:COG1126, COG:E, RefSeq:WP_003565291.1, SO:0001217, UniParc:UPI0000E5687B, UniRef:UniRef100_Q039J8, UniRef:UniRef50_A0A102Q5R9, UniRef:UniRef90_A0A0D6U531
contig_2	cds	42972	44780	+	LPARA_00660	uvrC	excinuclease ABC subunit UvrC	COG:COG0322, COG:L, GO:0003677, GO:0005737, GO:0006289, GO:0009380, GO:0009381, GO:0009432, KEGG:K03703, SO:0001217, UniRef:UniRef50_Q88VE9, UniRef:UniRef90_Q039J7
contig_2	cds	45155	47125	-	LPARA_00661	ptsN	EIIABC-Fru	COG:COG1762, COG:GT, RefSeq:WP_003579050.1, SO:0001217, UniParc:UPI000176ACDC, UniRef:UniRef100_A0A1V0Q3H9, UniRef:UniRef50_A0A1E3L669, UniRef:UniRef90_Q039J6
contig_2	cds	47135	48049	-	LPARA_00662	pfkB	1-phosphofructokinase	EC:2.7.1.56, GO:0008662, KEGG:K00882, RefSeq:WP_003565298.1, SO:0001217, UniParc:UPI0000511232, UniRef:UniRef100_Q039J5, UniRef:UniRef50_A0A0M9FN31, UniRef:UniRef90_A0A385HW81
contig_2	cds	48046	48795	-	LPARA_00663	deoR	Transcriptional regulator, DeoR family	RefSeq:WP_003565300.1, SO:0001217, UniParc:UPI0000511233, UniRef:UniRef100_Q039J4, UniRef:UniRef50_E7FRV8, UniRef:UniRef90_Q039J4
contig_2	cds	49044	50330	+	LPARA_00664	obgE	GTPase ObgE	COG:COG0536, COG:DL, EC:3.6.5.-, GO:0000287, GO:0003924, GO:0005525, GO:0005737, GO:0042254, RefSeq:WP_003565302.1, SO:0001217, UniParc:UPI0000511234, UniRef:UniRef100_Q039J3, UniRef:UniRef50_P20964, UniRef:UniRef90_Q039J3
contig_2	cds	50385	52364	+	LPARA_00665	oatA	O-acetyltransferase OatA	SO:0001217, UniRef:UniRef50_A0A6N2YQW2, UniRef:UniRef90_A0A422M5H2
contig_2	cds	52593	53555	+	LPARA_00666	rnz	ribonuclease Z	EC:3.1.26.11, GO:0008270, GO:0016891, GO:0042780, GO:0042781, KEGG:K00784, RefSeq:WP_003574983.1, SO:0001217, UniParc:UPI0000511237, UniRef:UniRef100_Q039J0, UniRef:UniRef50_P60199, UniRef:UniRef90_Q039J0
contig_2	cds	53599	54384	+	LPARA_00667		Short-chain dehydrogenase of various substrate specificities	RefSeq:WP_003565308.1, SO:0001217, UniParc:UPI0002043FC4, UniRef:UniRef100_Q039I9, UniRef:UniRef50_K8E4G8, UniRef:UniRef90_Q039I9
contig_2	cds	54398	54733	+	LPARA_00668		putative integral membrane protein	RefSeq:WP_003579059.1, SO:0001217, UniParc:UPI0000E5687D, UniRef:UniRef100_Q039I8, UniRef:UniRef50_A0A4Q1TNM7, UniRef:UniRef90_Q039I8
contig_2	cds	55090	57696	+	LPARA_00669	clpB	ATP-dependent chaperone ClpB	COG:COG0542, COG:O, GO:0005737, GO:0009408, GO:0042026, RefSeq:WP_003587840.1, SO:0001217, UniParc:UPI0001978469, UniRef:UniRef100_A0A1S2AJG1, UniRef:UniRef50_Q8Y570, UniRef:UniRef90_A0A806LFI5
contig_2	cds	57877	58068	+	LPARA_00670	rpmF	50S ribosomal protein L32	COG:COG0333, COG:J, GO:0003735, GO:0006412, GO:0015934, RefSeq:WP_003565316.1, SO:0001217, UniParc:UPI0000E5687F, UniRef:UniRef100_Q039I6, UniRef:UniRef50_B1MZN8, UniRef:UniRef90_Q039I6
contig_2	cds	58425	58976	+	LPARA_00671		DUF1836 domain-containing protein	RefSeq:WP_003565318.1, SO:0001217, UniParc:UPI000176ACE2, UniRef:UniRef100_K6S2I9, UniRef:UniRef50_A0A0R1U6N6, UniRef:UniRef90_A0A829GW75
contig_2	cds	58973	60526	+	LPARA_00672		Bifunctional metallophosphatase/5'-nucleotidase	SO:0001217, UniRef:UniRef50_K6QQI8, UniRef:UniRef90_K6QQI8
contig_2	cds	60569	61480	+	LPARA_00673		Lipoprotein	SO:0001217, UniParc:UPI000308D70D, UniRef:UniRef100_A0A826HHT7, UniRef:UniRef50_C2JX10, UniRef:UniRef90_Q039I3
contig_2	cds	61588	61782	-	LPARA_00674		DUF2929 domain-containing protein	RefSeq:WP_003565324.1, SO:0001217, UniParc:UPI000051136A, UniRef:UniRef100_Q039I2, UniRef:UniRef50_Q039I2, UniRef:UniRef90_Q039I2
contig_2	cds	61878	65174	+	LPARA_00675	dnaE	DNA polymerase III subunit alpha	EC:2.7.7.7, GO:0003676, GO:0006260, GO:0008408, RefSeq:WP_016384688.1, SO:0001217, UniParc:UPI000343AB02, UniRef:UniRef100_UPI000343AB02, UniRef:UniRef50_U4TXL2, UniRef:UniRef90_A0AAP4JHX4
contig_2	cds	65286	66245	+	LPARA_00676	pfkA	6-phosphofructokinase	COG:COG0205, COG:G, EC:2.7.1.11, GO:0003872, GO:0005524, GO:0005945, GO:0006002, GO:0006096, GO:0016208, GO:0030388, GO:0042802, GO:0046872, GO:0048029, GO:0061621, GO:0070095, RefSeq:WP_003565329.1, SO:0001217, UniParc:UPI0000242234, UniRef:UniRef100_Q039I0, UniRef:UniRef50_P00512, UniRef:UniRef90_Q039I0
contig_2	cds	66304	68070	+	LPARA_00677	pyk	pyruvate kinase	COG:COG3848, COG:T, EC:2.7.1.40, GO:0000287, GO:0004743, GO:0006096, GO:0030955, KEGG:K00873, RefSeq:WP_003565331.1, SO:0001217, UniParc:UPI000050D33B, UniRef:UniRef100_Q6XBK1, UniRef:UniRef50_Q07637, UniRef:UniRef90_A0A179YR60
contig_2	cds	68295	68756	+	LPARA_00678		UPF0756 membrane protein LCABL_15860	GO:0005886, RefSeq:WP_003565333.1, SO:0001217, UniParc:UPI0000E56885, UniRef:UniRef100_Q039H8, UniRef:UniRef50_Q88VY3, UniRef:UniRef90_Q039H8
contig_2	cds	68796	69674	+	LPARA_00679		RNA-binding protein	KEGG:K00243, RefSeq:WP_016384685.1, SO:0001217, UniParc:UPI0003438167, UniRef:UniRef100_UPI0003438167, UniRef:UniRef50_A0A1H9HUM0, UniRef:UniRef90_A0A422M5V6
contig_2	cds	69679	70560	+	LPARA_00680	xerD	site-specific tyrosine recombinase XerD	GO:0006310, GO:0009009, RefSeq:WP_016384684.1, SO:0001217, UniParc:UPI00034376D1, UniRef:UniRef100_UPI00034376D1, UniRef:UniRef50_Q8Y5V0, UniRef:UniRef90_Q039H6
contig_2	cds	70814	71200	+	LPARA_00681		N-acetyltransferase	KEGG:K02859, RefSeq:WP_003565339.1, SO:0001217, UniParc:UPI00005112CB, UniRef:UniRef100_Q039H5, UniRef:UniRef50_Q38WV2, UniRef:UniRef90_A0A0D6U4V8
contig_2	cds	71175	71900	+	LPARA_00682	scpA	Segregation and condensation protein A	COG:COG1354, COG:L, KEGG:K05896, RefSeq:WP_003565341.1, SO:0001217, UniParc:UPI0000E56887, UniRef:UniRef100_Q039H4, UniRef:UniRef50_A0A0R2F0W1, UniRef:UniRef90_Q039H4
contig_2	cds	71900	72520	+	LPARA_00683	scpB	SMC-Scp complex subunit ScpB	COG:COG1386, COG:K, GO:0005515, GO:0007059, KEGG:K06024, RefSeq:WP_003565342.1, SO:0001217, UniParc:UPI0000E56888, UniRef:UniRef100_Q039H3, UniRef:UniRef50_A0A0R1EWE8, UniRef:UniRef90_A0A0R1EWE8
contig_2	cds	72504	73247	+	LPARA_00684		Pseudouridine synthase	EC:5.4.99.22, KEGG:K06178, RefSeq:WP_016384681.1, SO:0001217, UniParc:UPI000343D24A, UniRef:UniRef100_UPI000343D24A, UniRef:UniRef50_A0A0R1UN55, UniRef:UniRef90_Q039H2
contig_2	ncRNA-region	73335	73453	+			FMN riboswitch aptamer (RFN element)	RFAM:RF00050, SO:0000035
contig_2	cds	73550	74128	+	LPARA_00685	fmnP	Riboflavin transporter	COG:COG3601, COG:H, KEGG:K23675, RefSeq:WP_241565038.1, SO:0001217, UniParc:UPI001F4ED269, UniRef:UniRef100_UPI001F4ED269, UniRef:UniRef50_Q039H1, UniRef:UniRef90_Q039H1
contig_2	cds	74275	74532	-	LPARA_00686		Ferredoxin	RefSeq:WP_003565348.1, SO:0001217, UniParc:UPI000176AD69, UniRef:UniRef100_A0A0K1KZ47, UniRef:UniRef50_A0A0R1JQ11, UniRef:UniRef90_A0A829GU27
contig_2	cds	74598	75578	+	LPARA_00687		Helicase Helix-turn-helix domain-containing protein	RefSeq:WP_016374271.1, SO:0001217, UniParc:UPI0003434652, UniRef:UniRef100_S2RNE6, UniRef:UniRef50_Q039G9, UniRef:UniRef90_Q039G9
contig_2	cds	75565	76974	+	LPARA_00688	recQ	ATP-dependent DNA helicase RecQ	RefSeq:WP_016369010.1, SO:0001217, UniParc:UPI00034398A8, UniRef:UniRef100_A0A0C9PPI0, UniRef:UniRef50_A0A422M5K1, UniRef:UniRef90_A0A422M5K1
contig_2	cds	77033	77653	+	LPARA_00689		SAG1386/EF1546 family surface-associated protein	RefSeq:WP_003565353.1, SO:0001217, UniParc:UPI00005112D3, UniRef:UniRef100_Q039G7, UniRef:UniRef50_A0A806EGM5, UniRef:UniRef90_A0A806EGM5
contig_2	cds	77719	78384	+	LPARA_00690	cmk	(d)CMP kinase	EC:2.7.4.25, GO:0004127, GO:0005524, GO:0015949, RefSeq:WP_003565355.1, SO:0001217, UniParc:UPI0000E5688A, UniRef:UniRef100_Q039G6, UniRef:UniRef50_P38493, UniRef:UniRef90_Q039G6
contig_2	cds	78472	79791	+	LPARA_00691	rpsA	30S ribosomal protein S1	COG:COG0539, COG:J, GO:0003676, RefSeq:WP_003565358.1, SO:0001217, UniParc:UPI000176AD6D, UniRef:UniRef100_K6QFT6, UniRef:UniRef50_A0A4V3A3Y7, UniRef:UniRef90_A0A0E3CNN1
contig_2	cds	79881	81188	+	LPARA_00692	der	ribosome biogenesis GTPase Der	COG:COG1160, COG:J, EC:3.6.5.-, GO:0003924, GO:0005525, GO:0005737, GO:0042254, GO:0043022, KEGG:K03977, RefSeq:WP_003570284.1, SO:0001217, UniParc:UPI000176AD6E, UniRef:UniRef100_B3WE80, UniRef:UniRef50_P50743, UniRef:UniRef90_Q039G4
contig_2	cds	81432	81707	+	LPARA_00693	hupA	DNA-binding protein HU	COG:B, COG:COG0776, RefSeq:WP_003658248.1, SO:0001217, UniParc:UPI0000E5688D, UniRef:UniRef100_Q039G3, UniRef:UniRef50_P08821, UniRef:UniRef90_A0A512PJF1
contig_2	cds	81952	83220	+	LPARA_00694	bepA	Tetratricopeptide repeat protein	COG:COG4783, COG:MO, SO:0001217, UniRef:UniRef50_A0A806LHZ6, UniRef:UniRef90_A0A806LHZ6
contig_2	cds	83231	84109	-	LPARA_00695	yitT	DUF2179 domain-containing protein	COG:COG1284, COG:S, RefSeq:WP_003570286.1, SO:0001217, UniParc:UPI0000E5688F, UniRef:UniRef100_Q039G1, UniRef:UniRef50_J9W7M4, UniRef:UniRef90_Q039G1
contig_2	cds	84213	85409	+	LPARA_00696	cca	CCA tRNA nucleotidyltransferase	EC:2.7.7.72, GO:0000049, GO:0000287, GO:0001680, GO:0005524, GO:0016779, GO:0042245, GO:0160016, RefSeq:WP_241565037.1, SO:0001217, UniParc:UPI001F4EB049, UniRef:UniRef100_UPI001F4EB049, UniRef:UniRef50_Q1WU19, UniRef:UniRef90_Q039G0
contig_2	cds	85547	86002	+	LPARA_00697		Phage tail protein	RefSeq:WP_003565371.1, SO:0001217, UniParc:UPI00005113E2, UniRef:UniRef100_Q039F9, UniRef:UniRef50_Q38WX6, UniRef:UniRef90_A0A171J948
contig_2	cds	86098	87990	+	LPARA_00698	abc-f	ribosomal protection-like ABC-F family protein	GO:0003677, GO:0005524, GO:0016887, RefSeq:WP_045602601.1, SO:0001217, UniParc:UPI0005F18BB7, UniRef:UniRef100_A0A829TSU2, UniRef:UniRef50_K9ESP8, UniRef:UniRef90_Q039F8
contig_2	cds	88019	88969	+	LPARA_00699		Thymidylate synthase	RefSeq:WP_003605118.1, SO:0001217, UniParc:UPI000297288C, UniRef:UniRef100_A0AAP9HHE3, UniRef:UniRef90_P00469
contig_2	cds	89097	89588	+	LPARA_00700		Dihydrofolate reductase	EC:1.5.1.3, KEGG:K00287, RefSeq:WP_016384317.1, SO:0001217, UniParc:UPI0003437705, UniRef:UniRef100_UPI0003437705, UniRef:UniRef50_P00381, UniRef:UniRef90_Q039F6
