## Sun May  3 20:22:47 2026
## emapper-2.1.13
## /home/probiominserver/anaconda3/envs/eggnog-mapper/bin/emapper.py -i ./temp/20260503-wvUp-se8q-xNMC7EYi/0.contigAnn/prokka_result.faa --temp_dir ./temp/20260503-wvUp-se8q-xNMC7EYi/2.eggNOGmapper --output_dir ./temp/20260503-wvUp-se8q-xNMC7EYi/2.eggNOGmapper --output eggNOG_out --cpu 24 --sensmode fast -m diamond --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
ELMOCPCJ_00789	543734.LCABL_17060	3.19e-146	412.0	COG3935@1|root,COG3935@2|Bacteria,1V283@1239|Firmicutes,4HFP3@91061|Bacilli,3F4FF@33958|Lactobacillaceae	91061|Bacilli	L	DnaD domain protein	dnaD	-	-	ko:K02086	-	-	-	-	ko00000	-	-	-	DnaB_2,HTH_36
ELMOCPCJ_00790	543734.LCABL_17070	0.0	888.0	COG0017@1|root,COG0017@2|Bacteria,1TP38@1239|Firmicutes,4H9YH@91061|Bacilli,3F4EK@33958|Lactobacillaceae	91061|Bacilli	J	Asparaginyl-tRNA synthetase	asnS	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	6.1.1.22	ko:K01893	ko00970,map00970	M00359,M00360	R03648	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2,tRNA_anti-codon
ELMOCPCJ_00791	543734.LCABL_17080	2.7e-278	761.0	COG0436@1|root,COG0436@2|Bacteria,1TP0J@1239|Firmicutes,4HA13@91061|Bacilli,3F3MX@33958|Lactobacillaceae	91061|Bacilli	E	Aminotransferase	aspB	GO:0003674,GO:0003824,GO:0008483,GO:0016740,GO:0016769,GO:0047297	2.6.1.1,2.6.1.14	ko:K00812,ko:K22457	ko00220,ko00250,ko00270,ko00330,ko00350,ko00360,ko00400,ko00401,ko00950,ko00960,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map00250,map00270,map00330,map00350,map00360,map00400,map00401,map00950,map00960,map01100,map01110,map01130,map01210,map01230	-	R00355,R00694,R00734,R00896,R01346,R02433,R02619,R05052	RC00006,RC00025	ko00000,ko00001,ko01000,ko01007	-	-	-	Aminotran_1_2
ELMOCPCJ_00792	543734.LCABL_17090	2.03e-111	320.0	COG5353@1|root,COG5353@2|Bacteria,1VA2H@1239|Firmicutes,4HNMM@91061|Bacilli,3F4MM@33958|Lactobacillaceae	91061|Bacilli	S	Protein conserved in bacteria	ypmB	-	-	-	-	-	-	-	-	-	-	-	PepSY
ELMOCPCJ_00793	543734.LCABL_17100	0.0	1748.0	COG0847@1|root,COG1199@1|root,COG0847@2|Bacteria,COG1199@2|Bacteria,1TQHQ@1239|Firmicutes,4HB2Y@91061|Bacilli,3F4KA@33958|Lactobacillaceae	91061|Bacilli	L	helicase involved in DNA repair and perhaps also replication	dinG	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016787,GO:0016788,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0042575,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0044776,GO:0045004,GO:0045005,GO:0046483,GO:0050896,GO:0051716,GO:0061695,GO:0071704,GO:0090304,GO:0090305,GO:1901360,GO:1901576,GO:1902494,GO:1990234	3.6.4.12	ko:K03722	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	DEAD,Helicase_C_2,RNase_T,ResIII
ELMOCPCJ_00794	543734.LCABL_17110	0.0	2367.0	COG1074@1|root,COG1074@2|Bacteria,1TQ35@1239|Firmicutes,4HA64@91061|Bacilli,3F3Z0@33958|Lactobacillaceae	91061|Bacilli	L	ATP-dependent helicase nuclease subunit A	addA	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:1901360	3.6.4.12	ko:K16898	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
ELMOCPCJ_00795	543734.LCABL_17120	0.0	2299.0	COG3857@1|root,COG3857@2|Bacteria,1TQJW@1239|Firmicutes,4HAY6@91061|Bacilli,3F3RS@33958|Lactobacillaceae	91061|Bacilli	L	The heterodimer acts as both an ATP-dependent DNA helicase and an ATP-dependent, dual-direction single-stranded exonuclease. Recognizes the chi site generating a DNA molecule suitable for the initiation of homologous recombination. This subunit has 5' - 3' nuclease activity	rexB	GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0004518,GO:0004519,GO:0004527,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0140097,GO:1901360	3.6.4.12	ko:K16899	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	Exonuc_V_gamma,PDDEXK_1,UvrD_C
ELMOCPCJ_00796	543734.LCABL_17130	7.25e-213	589.0	COG1577@1|root,COG1577@2|Bacteria,1TT5C@1239|Firmicutes,4HAQQ@91061|Bacilli,3F3TW@33958|Lactobacillaceae	91061|Bacilli	I	mevalonate kinase	mvk	-	2.7.1.36	ko:K00869	ko00900,ko01100,ko01110,ko01130,ko04146,map00900,map01100,map01110,map01130,map04146	M00095	R02245	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	GHMP_kinases_C,GHMP_kinases_N
ELMOCPCJ_00797	543734.LCABL_17140	3.66e-229	632.0	COG3407@1|root,COG3407@2|Bacteria,1TQXR@1239|Firmicutes,4HAM6@91061|Bacilli,3F4B5@33958|Lactobacillaceae	91061|Bacilli	I	diphosphomevalonate decarboxylase	mvaD	-	4.1.1.33	ko:K01597	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00095	R01121	RC00453	ko00000,ko00001,ko00002,ko01000	-	-	-	GHMP_kinases_C,GHMP_kinases_N
ELMOCPCJ_00798	543734.LCABL_17150	1.46e-240	662.0	COG1304@1|root,COG1304@2|Bacteria,1TQZ3@1239|Firmicutes,4HAMV@91061|Bacilli,3F3UY@33958|Lactobacillaceae	91061|Bacilli	C	Involved in the biosynthesis of isoprenoids. Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP)	fni	GO:0003674,GO:0003824,GO:0004452,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016853,GO:0016860,GO:0016863,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0071704,GO:1901576	5.3.3.2	ko:K01823	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00095,M00096,M00364,M00365,M00366,M00367	R01123	RC00455	ko00000,ko00001,ko00002,ko01000	-	-	-	FMN_dh
ELMOCPCJ_00799	543734.LCABL_17160	0.0	906.0	COG0144@1|root,COG0144@2|Bacteria,1TPGQ@1239|Firmicutes,4HCHQ@91061|Bacilli,3F492@33958|Lactobacillaceae	91061|Bacilli	J	NOL1 NOP2 sun family protein	rsmF	-	-	-	-	-	-	-	-	-	-	-	Methyltr_RsmB-F,Methyltr_RsmF_N,Methyltranf_PUA,RsmF_methylt_CI
ELMOCPCJ_00800	543734.LCABL_17170	2.19e-222	613.0	2EPHD@1|root,33H40@2|Bacteria,1VNCY@1239|Firmicutes,4HYY7@91061|Bacilli,3F495@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MacB_PCD
ELMOCPCJ_00801	543734.LCABL_17180	7.18e-181	503.0	2E39Q@1|root,32Y99@2|Bacteria,1VQQ8@1239|Firmicutes,4HRY1@91061|Bacilli,3F4UX@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00802	543734.LCABL_17190	5.48e-78	232.0	COG2151@1|root,COG2151@2|Bacteria,1V9YV@1239|Firmicutes,4HKC6@91061|Bacilli,3F7D5@33958|Lactobacillaceae	91061|Bacilli	S	Iron-sulfur cluster assembly protein	yitW	-	-	-	-	-	-	-	-	-	-	-	DUF1858,FeS_assembly_P
ELMOCPCJ_00803	543734.LCABL_17200	2.03e-35	120.0	COG1942@1|root,COG1942@2|Bacteria,1VKD5@1239|Firmicutes,4HRBS@91061|Bacilli,3F83T@33958|Lactobacillaceae	91061|Bacilli	G	Belongs to the 4-oxalocrotonate tautomerase family	dmpI	GO:0003674,GO:0003824,GO:0006725,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0044237	5.3.2.6	ko:K01821	ko00362,ko00621,ko00622,ko01100,ko01120,ko01220,map00362,map00621,map00622,map01100,map01120,map01220	M00569	R03966,R05389	RC01040,RC01355	ko00000,ko00001,ko00002,ko01000	-	-	-	Tautomerase
ELMOCPCJ_00804	543734.LCABL_17210	2.82e-191	530.0	COG0327@1|root,COG0327@2|Bacteria,1TQ27@1239|Firmicutes,4H9NY@91061|Bacilli,3F3ZD@33958|Lactobacillaceae	91061|Bacilli	S	Belongs to the GTP cyclohydrolase I type 2 NIF3 family	yqfO	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	-	-	-	-	-	-	-	-	-	NIF3
ELMOCPCJ_00805	543734.LCABL_17220	1.88e-159	447.0	COG2384@1|root,COG2384@2|Bacteria,1V3I4@1239|Firmicutes,4HHIM@91061|Bacilli,3F4GT@33958|Lactobacillaceae	91061|Bacilli	S	SAM-dependent methyltransferase	trmK	GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016426,GO:0016429,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.1.1.217	ko:K06967	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	TrmK
ELMOCPCJ_00806	543734.LCABL_17240	4.35e-247	685.0	COG0568@1|root,COG0568@2|Bacteria,1TPD6@1239|Firmicutes,4HB1H@91061|Bacilli,3F4CF@33958|Lactobacillaceae	91061|Bacilli	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth	sigA	-	-	ko:K03086	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r1_1,Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4
ELMOCPCJ_00807	543734.LCABL_17250	0.0	1164.0	COG0358@1|root,COG0358@2|Bacteria,1TQ0X@1239|Firmicutes,4HAG2@91061|Bacilli,3F3N1@33958|Lactobacillaceae	91061|Bacilli	L	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication	dnaG	-	-	ko:K02316	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	DnaB,DnaB_bind,Toprim_2,Toprim_4,Toprim_N,zf-CHC2
ELMOCPCJ_00808	543734.LCABL_17260	0.0	1345.0	COG0751@1|root,COG0751@2|Bacteria,1TNZ7@1239|Firmicutes,4H9NT@91061|Bacilli,3F4G8@33958|Lactobacillaceae	91061|Bacilli	J	Glycyl-tRNA synthetase beta subunit	glyS	-	6.1.1.14	ko:K01879	ko00970,map00970	M00360	R03654	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DALR_1,tRNA_synt_2f
ELMOCPCJ_00809	568703.LGG_01514	6.05e-219	603.0	COG0752@1|root,COG0752@2|Bacteria,1TPW8@1239|Firmicutes,4HBCF@91061|Bacilli,3F3T8@33958|Lactobacillaceae	91061|Bacilli	J	glycyl-tRNA synthetase alpha subunit	glyQ	-	6.1.1.14	ko:K01878	ko00970,map00970	M00360	R03654	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2e
ELMOCPCJ_00810	568703.LGG_01515	3.57e-282	771.0	COG0582@1|root,COG0582@2|Bacteria,1TTJI@1239|Firmicutes,4HDG6@91061|Bacilli,3F6GB@33958|Lactobacillaceae	91061|Bacilli	L	Phage integrase family	sip	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_4,Phage_int_SAM_3,Phage_integrase
ELMOCPCJ_00811	1449065.JMLL01000010_gene1288	0.000896	43.5	COG1396@1|root,COG1396@2|Bacteria,1N1CT@1224|Proteobacteria,2UCMF@28211|Alphaproteobacteria,43KDP@69277|Phyllobacteriaceae	28211|Alphaproteobacteria	K	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31
ELMOCPCJ_00813	568703.LGG_01519	2.09e-249	687.0	COG1388@1|root,COG3757@1|root,COG1388@2|Bacteria,COG3757@2|Bacteria,1V16P@1239|Firmicutes,4HF99@91061|Bacilli,3FC13@33958|Lactobacillaceae	91061|Bacilli	M	Glycosyl hydrolases family 25	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_25,LysM,SH3_5
ELMOCPCJ_00814	1423732.BALS01000002_gene1061	2.04e-59	184.0	2FDCN@1|root,345EF@2|Bacteria,1W0SS@1239|Firmicutes,4HXYE@91061|Bacilli,3F8B6@33958|Lactobacillaceae	91061|Bacilli	S	Bacteriophage holin of superfamily 6 (Holin_LLH)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_6_1
ELMOCPCJ_00815	568703.LGG_01521	1.74e-41	136.0	2C0XI@1|root,2ZJRZ@2|Bacteria,1W39V@1239|Firmicutes,4I12U@91061|Bacilli,3F76K@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	XhlA
ELMOCPCJ_00817	146269.A8YQK2_9CAUD	1.27e-40	136.0	4QH1E@10239|Viruses,4QZAD@35237|dsDNA viruses  no RNA stage,4QSYR@28883|Caudovirales	28883|Caudovirales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00818	146269.A8YQK1_9CAUD	0.0	1144.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QKKV@10699|Siphoviridae	10699|Siphoviridae	S	peptidoglycan catabolic process	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00819	146269.Q7Y4B1_9CAUD	0.0	1000.0	4QBF8@10239|Viruses,4QUS7@35237|dsDNA viruses  no RNA stage,4QPI9@28883|Caudovirales,4QKN2@10699|Siphoviridae	10699|Siphoviridae	S	Phage tail protein	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00820	1423732.BALS01000109_gene448	5.89e-272	798.0	COG3953@1|root,COG5412@1|root,COG3953@2|Bacteria,COG5412@2|Bacteria,1UYS4@1239|Firmicutes,4HEDZ@91061|Bacilli,3FBSQ@33958|Lactobacillaceae	91061|Bacilli	D	domain protein	-	-	-	-	-	-	-	-	-	-	-	-	NLPC_P60,SLT
ELMOCPCJ_00821	1423732.BALS01000132_gene397	3.48e-31	109.0	2BGTC@1|root,32ASW@2|Bacteria,1U6XA@1239|Firmicutes,4IGRJ@91061|Bacilli,3F8NP@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00822	568703.LGG_01527	1.57e-68	208.0	2ETGD@1|root,33M08@2|Bacteria,1VKVE@1239|Firmicutes,4HSUY@91061|Bacilli,3F708@33958|Lactobacillaceae	91061|Bacilli	S	Phage tail assembly chaperone proteins, TAC	-	-	-	-	-	-	-	-	-	-	-	-	Phage_TAC_3
ELMOCPCJ_00823	1122147.AUEH01000019_gene953	8.77e-138	390.0	2AZAN@1|root,31RHY@2|Bacteria,1V7ZH@1239|Firmicutes,4HJVX@91061|Bacilli,3F4AS@33958|Lactobacillaceae	91061|Bacilli	S	Phage tail tube protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_TTP_1
ELMOCPCJ_00824	568703.LGG_01529	1.63e-77	231.0	2FK0I@1|root,345Z1@2|Bacteria,1VYMN@1239|Firmicutes,4HY61@91061|Bacilli	91061|Bacilli	S	Protein of unknown function (DUF806)	-	-	-	-	-	-	-	-	-	-	-	-	DUF806
ELMOCPCJ_00825	568703.LGG_01530	1.39e-82	245.0	2FCMI@1|root,344QS@2|Bacteria,1VYI2@1239|Firmicutes,4HYQ6@91061|Bacilli,3F87J@33958|Lactobacillaceae	91061|Bacilli	S	Bacteriophage HK97-gp10, putative tail-component	-	-	-	-	-	-	-	-	-	-	-	-	HK97-gp10_like
ELMOCPCJ_00826	1423732.BALS01000063_gene2223	1.84e-39	132.0	2EQC3@1|root,33HY7@2|Bacteria,1VKP6@1239|Firmicutes,4HRKR@91061|Bacilli,3F6YI@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00827	568703.LGG_01533	0.0	945.0	COG3740@1|root,COG4653@1|root,COG3740@2|Bacteria,COG4653@2|Bacteria,1TSYM@1239|Firmicutes,4HE4V@91061|Bacilli,3F5ZB@33958|Lactobacillaceae	91061|Bacilli	S	Phage capsid family	-	-	-	ko:K06904	-	-	-	-	ko00000	-	-	-	Peptidase_S78,Phage_capsid
ELMOCPCJ_00828	568703.LGG_01534	5.42e-254	697.0	COG4695@1|root,COG4695@2|Bacteria,1TP8B@1239|Firmicutes,4HHWD@91061|Bacilli,3F42D@33958|Lactobacillaceae	91061|Bacilli	S	Phage portal protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_portal
ELMOCPCJ_00830	1423732.BALS01000063_gene2219	0.0	972.0	COG4626@1|root,COG4626@2|Bacteria,1TPU1@1239|Firmicutes,4HAXI@91061|Bacilli,3F51U@33958|Lactobacillaceae	91061|Bacilli	S	overlaps another CDS with the same product name	terL	-	-	-	-	-	-	-	-	-	-	-	Terminase_1
ELMOCPCJ_00831	1423732.BALS01000055_gene2720	1.91e-93	274.0	COG3747@1|root,COG3747@2|Bacteria,1VW7W@1239|Firmicutes,4HR5B@91061|Bacilli,3F43B@33958|Lactobacillaceae	91061|Bacilli	L	Phage terminase, small subunit	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_4
ELMOCPCJ_00832	386043.lwe1202	1.11e-52	181.0	COG0286@1|root,COG0286@2|Bacteria,1V65N@1239|Firmicutes,4HHB0@91061|Bacilli,26MAZ@186820|Listeriaceae	91061|Bacilli	V	site-specific DNA-methyltransferase (adenine-specific) activity	-	-	-	-	-	-	-	-	-	-	-	-	N6_Mtase
ELMOCPCJ_00835	568703.LGG_01540	7.37e-73	221.0	COG1403@1|root,COG1403@2|Bacteria,1VFKN@1239|Firmicutes,4HR16@91061|Bacilli,3F87W@33958|Lactobacillaceae	91061|Bacilli	V	HNH nucleases	-	-	-	-	-	-	-	-	-	-	-	-	HNH
ELMOCPCJ_00836	1423732.BALS01000055_gene2723	1.88e-57	181.0	COG0629@1|root,COG0629@2|Bacteria,1W6SA@1239|Firmicutes,4II01@91061|Bacilli,3FAGD@33958|Lactobacillaceae	91061|Bacilli	L	Single-strand binding protein family	-	-	-	-	-	-	-	-	-	-	-	-	SSB
ELMOCPCJ_00838	1540090.A0A0A0RUN2_9CAUD	1.37e-09	63.2	4QAIU@10239|Viruses,4QPDE@28883|Caudovirales	28883|Caudovirales	S	HNH endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00841	543734.LCABL_17280	1.23e-54	172.0	2C8G2@1|root,348DR@2|Bacteria,1VZDC@1239|Firmicutes,4HZ47@91061|Bacilli,3F740@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00842	543734.LCABL_17290	7.35e-70	210.0	2C8G2@1|root,348DR@2|Bacteria,1VZDC@1239|Firmicutes,4HZ47@91061|Bacilli,3F740@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00843	543734.LCABL_17300	2.76e-179	499.0	COG1381@1|root,COG1381@2|Bacteria,1UZ19@1239|Firmicutes,4HAHI@91061|Bacilli,3F56P@33958|Lactobacillaceae	91061|Bacilli	L	Involved in DNA repair and RecF pathway recombination	recO	GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	-	ko:K03584	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	RecO_C,RecO_N
ELMOCPCJ_00844	543734.LCABL_17310	3.22e-215	594.0	COG1159@1|root,COG1159@2|Bacteria,1TP3R@1239|Firmicutes,4H9WF@91061|Bacilli,3F3WQ@33958|Lactobacillaceae	91061|Bacilli	S	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism	era	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019219,GO:0019222,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0045934,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051302,GO:0051781,GO:0060255,GO:0065007,GO:0071944,GO:0080090,GO:0090329,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:2000104,GO:2000112,GO:2000113	-	ko:K03595	-	-	-	-	ko00000,ko03009,ko03029	-	-	-	KH_2,MMR_HSR1
ELMOCPCJ_00845	543734.LCABL_17320	1.62e-83	247.0	COG0295@1|root,COG0295@2|Bacteria,1V6IP@1239|Firmicutes,4HIJ3@91061|Bacilli,3F7RM@33958|Lactobacillaceae	91061|Bacilli	F	This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis	cdd	-	3.5.4.5	ko:K01489	ko00240,ko00983,ko01100,map00240,map00983,map01100	-	R01878,R02485,R08221	RC00074,RC00514	ko00000,ko00001,ko01000	-	-	-	dCMP_cyt_deam_1
ELMOCPCJ_00846	543734.LCABL_17330	3.36e-82	244.0	COG0818@1|root,COG0818@2|Bacteria,1VEGR@1239|Firmicutes,4HNKN@91061|Bacilli,3F7DC@33958|Lactobacillaceae	91061|Bacilli	M	Diacylglycerol kinase	dgkA	-	2.7.1.107,2.7.1.66	ko:K00887,ko:K00901	ko00550,ko00561,ko00564,ko01100,ko01110,ko04070,ko04072,ko05231,map00550,map00561,map00564,map01100,map01110,map04070,map04072,map05231	-	R02240,R05626	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	iSB619.SA_RS07900	DAGK_prokar
ELMOCPCJ_00847	543734.LCABL_17340	1.71e-105	304.0	COG0319@1|root,COG0319@2|Bacteria,1V6BU@1239|Firmicutes,4HIIE@91061|Bacilli,3F516@33958|Lactobacillaceae	91061|Bacilli	S	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	ko:K07042	-	-	-	-	ko00000,ko03009	-	-	-	UPF0054
ELMOCPCJ_00848	543734.LCABL_17350	4.64e-229	631.0	COG1702@1|root,COG1702@2|Bacteria,1TP35@1239|Firmicutes,4HBD5@91061|Bacilli,3F4E7@33958|Lactobacillaceae	91061|Bacilli	T	phosphate starvation-inducible protein PhoH	phoH	-	-	ko:K06217	-	-	-	-	ko00000	-	-	-	PhoH
ELMOCPCJ_00850	543734.LCABL_17360	5.18e-88	259.0	COG1610@1|root,COG1610@2|Bacteria,1V6F2@1239|Firmicutes,4HIQP@91061|Bacilli,3F6I0@33958|Lactobacillaceae	91061|Bacilli	S	YqeY-like protein	yqeY	-	-	ko:K09117	-	-	-	-	ko00000	-	-	-	YqeY
ELMOCPCJ_00851	568703.LGG_01556	4.66e-28	101.0	COG0828@1|root,COG0828@2|Bacteria,1VEHU@1239|Firmicutes,4HNPV@91061|Bacilli,3F81Y@33958|Lactobacillaceae	91061|Bacilli	J	Belongs to the bacterial ribosomal protein bS21 family	rpsU	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:1990904	-	ko:K02970	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S21
ELMOCPCJ_00852	543734.LCABL_17380	9.85e-198	548.0	COG1806@1|root,COG1806@2|Bacteria,1TPG0@1239|Firmicutes,4HB0Q@91061|Bacilli,3F3WK@33958|Lactobacillaceae	91061|Bacilli	F	Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation dephosphorylation	yqfL	-	2.7.11.33,2.7.4.28	ko:K09773	-	-	-	-	ko00000,ko01000	-	-	-	Kinase-PPPase
