# BUSCO version is: 6.0.0 
# The lineage dataset is: lactobacillaceae_odb12 (Creation date: 2025-05-14, number of genomes: 100, number of BUSCOs: 519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2142at33958	Complete	NODE_5_length_328887_cov_107.457170	279331	277760	-	909.0	516
2151at33958	Complete	NODE_2_length_515833_cov_109.460731	140236	141939	+	880.8	552
2154at33958	Complete	NODE_2_length_515833_cov_109.460731	16855	18024	+	465.6	366
2162at33958	Complete	NODE_2_length_515833_cov_109.460731	337948	337160	-	398.7	260
2168at33958	Complete	NODE_2_length_515833_cov_109.460731	452895	452488	-	174.3	126
2177at33958	Complete	NODE_2_length_515833_cov_109.460731	205072	206106	+	460.3	329
2183at33958	Complete	NODE_2_length_515833_cov_109.460731	463531	463061	-	258.4	156
2198at33958	Complete	NODE_2_length_515833_cov_109.460731	203159	204094	+	392.4	307
2201at33958	Complete	NODE_2_length_515833_cov_109.460731	322764	321859	-	429.9	294
2205at33958	Complete	NODE_5_length_328887_cov_107.457170	271540	270434	-	670.2	356
2206at33958	Complete	NODE_2_length_515833_cov_109.460731	255473	255015	-	226.3	158
2225at33958	Complete	NODE_2_length_515833_cov_109.460731	81952	83220	+	543.1	411
2228at33958	Duplicated	NODE_1_length_651596_cov_115.359902	419125	419784	+	334.7	215
2228at33958	Duplicated	NODE_2_length_515833_cov_109.460731	418309	417659	-	327.7	215
2241at33958	Complete	NODE_2_length_515833_cov_109.460731	107458	106835	-	300.0	199
2248at33958	Complete	NODE_17_length_14292_cov_110.043405	11178	11726	+	126.1	152
2279at33958	Complete	NODE_2_length_515833_cov_109.460731	436079	434730	-	674.6	442
2287at33958	Complete	NODE_2_length_515833_cov_109.460731	484359	483823	-	245.6	161
2292at33958	Complete	NODE_2_length_515833_cov_109.460731	202808	199269	-	1045.2	1016
2309at33958	Complete	NODE_2_length_515833_cov_109.460731	73550	74128	+	238.0	182
2317at33958	Complete	NODE_3_length_404174_cov_108.718135	155878	157830	+	976.3	614
2320at33958	Complete	NODE_1_length_651596_cov_115.359902	147852	145846	-	1136.7	665
2330at33958	Complete	NODE_3_length_404174_cov_108.718135	367654	367214	-	251.3	144
2332at33958	Complete	NODE_2_length_515833_cov_109.460731	57877	58068	+	119.1	56
2338at33958	Complete	NODE_5_length_328887_cov_107.457170	285985	284693	-	571.5	429
2349at33958	Complete	NODE_2_length_515833_cov_109.460731	199272	195568	-	1467.4	1215
2356at33958	Complete	NODE_2_length_515833_cov_109.460731	28310	28056	-	135.5	82
2365at33958	Complete	NODE_3_length_404174_cov_108.718135	155660	155007	-	370.7	208
2367at33958	Complete	NODE_2_length_515833_cov_109.460731	189466	188843	-	242.6	197
2371at33958	Complete	NODE_2_length_515833_cov_109.460731	328998	327745	-	660.2	355
2375at33958	Complete	NODE_3_length_404174_cov_108.718135	371269	370901	-	245.2	122
2377at33958	Complete	NODE_2_length_515833_cov_109.460731	78472	79791	+	675.0	393
2385at33958	Complete	NODE_13_length_45945_cov_104.851879	34273	34761	+	224.4	156
2408at33958	Complete	NODE_2_length_515833_cov_109.460731	24731	26935	+	599.4	573
2412at33958	Complete	NODE_2_length_515833_cov_109.460731	317752	315878	-	1220.1	617
2433at33958	Complete	NODE_5_length_328887_cov_107.457170	282952	282359	-	312.5	193
2464at33958	Complete	NODE_13_length_45945_cov_104.851879	34748	35293	+	211.2	177
2472at33958	Complete	NODE_2_length_515833_cov_109.460731	452137	451208	-	433.9	303
2473at33958	Complete	NODE_2_length_515833_cov_109.460731	428007	426808	-	551.4	399
2476at33958	Complete	NODE_1_length_651596_cov_115.359902	42279	40969	-	556.1	435
2492at33958	Complete	NODE_1_length_651596_cov_115.359902	643884	646031	+	1254.5	681
2495at33958	Complete	NODE_5_length_328887_cov_107.457170	115905	114619	-	495.2	360
2507at33958	Complete	NODE_1_length_651596_cov_115.359902	344171	345598	+	446.4	428
2519at33958	Complete	NODE_2_length_515833_cov_109.460731	441130	440819	-	177.3	102
2533at33958	Complete	NODE_2_length_515833_cov_109.460731	21451	21828	+	121.5	81
2534at33958	Complete	NODE_2_length_515833_cov_109.460731	434737	434510	-	115.2	73
2542at33958	Complete	NODE_5_length_328887_cov_107.457170	276991	275726	-	475.0	391
2544at33958	Complete	NODE_2_length_515833_cov_109.460731	204102	205106	+	440.2	314
2555at33958	Complete	NODE_5_length_328887_cov_107.457170	314031	314852	+	340.6	259
2566at33958	Complete	NODE_5_length_328887_cov_107.457170	289574	287253	-	967.6	641
2570at33958	Complete	NODE_5_length_328887_cov_107.457170	287244	285982	-	514.7	413
2595at33958	Complete	NODE_2_length_515833_cov_109.460731	395219	394701	-	236.0	169
2611at33958	Complete	NODE_2_length_515833_cov_109.460731	22374	22877	+	224.8	156
2624at33958	Complete	NODE_1_length_651596_cov_115.359902	43466	42276	-	618.2	371
2642at33958	Complete	NODE_1_length_651596_cov_115.359902	559601	560209	+	236.9	182
2643at33958	Complete	NODE_17_length_14292_cov_110.043405	6543	5530	-	511.3	334
2677at33958	Complete	NODE_5_length_328887_cov_107.457170	304430	303375	-	144.3	213
2694at33958	Complete	NODE_2_length_515833_cov_109.460731	36352	37689	+	740.0	425
2698at33958	Complete	NODE_2_length_515833_cov_109.460731	472133	473131	+	334.2	281
2703at33958	Complete	NODE_7_length_113986_cov_103.583132	43306	42446	-	418.6	281
2713at33958	Complete	NODE_7_length_113986_cov_103.583132	25217	23958	-	643.8	372
2755at33958	Complete	NODE_3_length_404174_cov_108.718135	374742	374440	-	163.4	94
2786at33958	Complete	NODE_1_length_651596_cov_115.359902	345653	346450	+	273.9	250
2797at33958	Complete	NODE_13_length_45945_cov_104.851879	42739	43944	+	659.9	389
2836at33958	Complete	NODE_2_length_515833_cov_109.460731	327117	324286	-	1256.1	679
2849at33958	Complete	NODE_2_length_515833_cov_109.460731	397517	396081	-	910.1	474
2850at33958	Complete	NODE_1_length_651596_cov_115.359902	617826	619334	+	874.1	497
2921at33958	Complete	NODE_3_length_404174_cov_108.718135	364159	363770	-	270.5	126
2923at33958	Complete	NODE_2_length_515833_cov_109.460731	399656	398661	-	586.3	315
2924at33958	Complete	NODE_2_length_515833_cov_109.460731	403210	399656	-	1308.9	1101
2930at33958	Complete	NODE_2_length_515833_cov_109.460731	50385	52364	+	810.3	581
2939at33958	Complete	NODE_11_length_60639_cov_107.161487	4632	4009	-	249.8	202
2944at33958	Complete	NODE_2_length_515833_cov_109.460731	96844	97611	+	374.6	243
2973at33958	Complete	NODE_3_length_404174_cov_108.718135	170575	170267	-	163.3	101
2983at33958	Complete	NODE_1_length_651596_cov_115.359902	606884	607564	+	240.9	160
2989at33958	Complete	NODE_1_length_651596_cov_115.359902	640620	641051	+	111.8	112
2993at33958	Complete	NODE_11_length_60639_cov_107.161487	6067	5423	-	151.5	110
3013at33958	Complete	NODE_2_length_515833_cov_109.460731	164558	164094	-	175.3	141
3014at33958	Complete	NODE_4_length_348303_cov_114.329901	26849	27409	+	194.5	172
3033at33958	Complete	NODE_2_length_515833_cov_109.460731	434513	433662	-	271.9	215
3063at33958	Complete	NODE_1_length_651596_cov_115.359902	347847	349175	+	495.5	357
3089at33958	Complete	NODE_1_length_651596_cov_115.359902	602369	601998	-	171.1	117
3125at33958	Complete	NODE_5_length_328887_cov_107.457170	106644	105637	-	353.6	279
3131at33958	Complete	NODE_2_length_515833_cov_109.460731	489373	489017	-	221.7	117
3139at33958	Complete	NODE_1_length_651596_cov_115.359902	113282	112791	-	134.6	139
3142at33958	Complete	NODE_5_length_328887_cov_107.457170	173837	172752	-	420.6	312
3145at33958	Complete	NODE_11_length_60639_cov_107.161487	8946	8209	-	297.5	237
3161at33958	Complete	NODE_2_length_515833_cov_109.460731	464236	463598	-	370.7	209
3207at33958	Complete	NODE_1_length_651596_cov_115.359902	17260	16463	-	407.6	261
3209at33958	Complete	NODE_11_length_60639_cov_107.161487	54973	54554	-	162.3	127
3215at33958	Complete	NODE_13_length_45945_cov_104.851879	34026	34238	+	124.8	69
3254at33958	Complete	NODE_5_length_328887_cov_107.457170	275726	275052	-	246.4	220
3330at33958	Complete	NODE_2_length_515833_cov_109.460731	24051	24734	+	223.4	210
3366at33958	Missing
3403at33958	Complete	NODE_2_length_515833_cov_109.460731	77033	77653	+	123.0	130
13447at33958	Complete	NODE_6_length_211744_cov_108.724426	210061	211344	+	781.5	426
53987at33958	Complete	NODE_2_length_515833_cov_109.460731	3280	3068	-	126.5	70
54678at33958	Complete	NODE_2_length_515833_cov_109.460731	470054	469680	-	163.0	104
54999at33958	Complete	NODE_3_length_404174_cov_108.718135	364695	364579	-	88.1	37
55556at33958	Complete	NODE_2_length_515833_cov_109.460731	184559	183984	-	260.4	178
55925at33958	Missing
56044at33958	Missing
56382at33958	Complete	NODE_2_length_515833_cov_109.460731	512421	512855	+	248.0	140
56414at33958	Complete	NODE_3_length_404174_cov_108.718135	381980	381510	-	330.0	155
56788at33958	Complete	NODE_1_length_651596_cov_115.359902	634431	634988	+	290.8	185
58038at33958	Complete	NODE_2_length_515833_cov_109.460731	507524	506883	-	287.7	205
58852at33958	Complete	NODE_2_length_515833_cov_109.460731	499150	498302	-	427.7	273
59151at33958	Complete	NODE_3_length_404174_cov_108.718135	369767	369369	-	263.4	130
59292at33958	Complete	NODE_6_length_211744_cov_108.724426	138469	139395	+	509.4	306
59520at33958	Complete	NODE_11_length_60639_cov_107.161487	38812	38492	-	149.2	90
59711at33958	Complete	NODE_2_length_515833_cov_109.460731	262949	261144	-	1090.0	578
60567at33958	Complete	NODE_2_length_515833_cov_109.460731	397874	397530	-	164.6	110
60704at33958	Complete	NODE_2_length_515833_cov_109.460731	504150	502840	-	781.4	435
60858at33958	Complete	NODE_7_length_113986_cov_103.583132	38476	37664	-	434.9	268
60905at33958	Complete	NODE_1_length_651596_cov_115.359902	246230	246754	+	181.7	114
60919at33958	Complete	NODE_2_length_515833_cov_109.460731	495756	494821	-	364.3	286
61655at33958	Complete	NODE_7_length_113986_cov_103.583132	10251	9910	-	147.9	109
62059at33958	Complete	NODE_7_length_113986_cov_103.583132	21304	18518	-	1685.7	919
62230at33958	Complete	NODE_3_length_404174_cov_108.718135	381420	379318	-	1477.3	694
65581at33958	Complete	NODE_2_length_515833_cov_109.460731	479881	478745	-	453.8	365
65707at33958	Complete	NODE_1_length_651596_cov_115.359902	360830	361309	+	290.2	159
65742at33958	Complete	NODE_2_length_515833_cov_109.460731	14771	16615	+	1247.9	610
66226at33958	Complete	NODE_13_length_45945_cov_104.851879	29697	30698	+	487.6	317
66317at33958	Complete	NODE_2_length_515833_cov_109.460731	440803	440453	-	110.8	100
66842at33958	Complete	NODE_2_length_515833_cov_109.460731	77719	78384	+	370.2	218
66844at33958	Complete	NODE_3_length_404174_cov_108.718135	373236	372883	-	222.6	115
66950at33958	Complete	NODE_9_length_65232_cov_107.983117	1759	185	-	1022.2	516
67272at33958	Complete	NODE_2_length_515833_cov_109.460731	270878	270432	-	218.9	147
67525at33958	Complete	NODE_13_length_45945_cov_104.851879	40743	41732	+	600.7	325
67603at33958	Complete	NODE_2_length_515833_cov_109.460731	26922	27965	+	401.6	313
67790at33958	Complete	NODE_7_length_113986_cov_103.583132	44396	43395	-	650.4	331
68385at33958	Complete	NODE_5_length_328887_cov_107.457170	252929	251202	-	1013.3	572
68615at33958	Complete	NODE_2_length_515833_cov_109.460731	498305	497703	-	246.6	190
68631at33958	Complete	NODE_7_length_113986_cov_103.583132	27561	26698	-	317.5	271
69538at33958	Complete	NODE_3_length_404174_cov_108.718135	371779	371585	-	133.6	64
69941at33958	Complete	NODE_2_length_515833_cov_109.460731	385794	386444	+	304.9	207
70097at33958	Complete	NODE_1_length_651596_cov_115.359902	48814	47792	-	643.9	337
70456at33958	Complete	NODE_5_length_328887_cov_107.457170	234847	234257	-	370.9	193
70744at33958	Complete	NODE_7_length_113986_cov_103.583132	13362	12826	-	215.1	174
71111at33958	Complete	NODE_2_length_515833_cov_109.460731	342521	341733	-	511.4	251
71415at33958	Complete	NODE_2_length_515833_cov_109.460731	475612	474926	-	452.4	228
71835at33958	Complete	NODE_3_length_404174_cov_108.718135	186976	186470	-	267.4	166
71970at33958	Complete	NODE_5_length_328887_cov_107.457170	171050	169239	-	1034.5	605
72209at33958	Complete	NODE_2_length_515833_cov_109.460731	172176	172406	+	128.8	73
72342at33958	Complete	NODE_1_length_651596_cov_115.359902	232825	232589	-	170.3	77
72343at33958	Complete	NODE_5_length_328887_cov_107.457170	49696	49118	-	326.0	189
72420at33958	Complete	NODE_2_length_515833_cov_109.460731	474926	473340	-	665.7	461
72565at33958	Complete	NODE_2_length_515833_cov_109.460731	327733	327440	-	158.3	96
72879at33958	Complete	NODE_1_length_651596_cov_115.359902	240030	238069	-	1289.9	642
72907at33958	Complete	NODE_9_length_65232_cov_107.983117	19949	18783	-	592.4	386
72926at33958	Complete	NODE_3_length_404174_cov_108.718135	402683	400176	-	1467.3	811
73231at33958	Complete	NODE_17_length_14292_cov_110.043405	839	399	-	203.4	141
73308at33958	Complete	NODE_3_length_404174_cov_108.718135	373535	373254	-	194.3	91
74812at33958	Complete	NODE_2_length_515833_cov_109.460731	28558	28827	+	163.6	87
75148at33958	Complete	NODE_5_length_328887_cov_107.457170	100437	99364	-	596.7	355
75361at33958	Complete	NODE_7_length_113986_cov_103.583132	33187	31040	-	942.8	670
75557at33958	Complete	NODE_1_length_651596_cov_115.359902	641970	643280	+	392.6	412
75635at33958	Complete	NODE_2_length_515833_cov_109.460731	490152	489688	-	279.0	154
75647at33958	Complete	NODE_3_length_404174_cov_108.718135	367873	367688	-	128.0	60
75676at33958	Complete	NODE_11_length_60639_cov_107.161487	10010	8943	-	371.8	319
76052at33958	Complete	NODE_3_length_404174_cov_108.718135	160833	160111	-	294.9	231
76053at33958	Complete	NODE_1_length_651596_cov_115.359902	248940	250328	+	836.0	457
76056at33958	Complete	NODE_1_length_651596_cov_115.359902	546870	547544	+	291.5	203
76341at33958	Complete	NODE_2_length_515833_cov_109.460731	109995	112439	+	1402.1	795
76478at33958	Complete	NODE_7_length_113986_cov_103.583132	30029	28650	-	740.7	454
76714at33958	Complete	NODE_1_length_651596_cov_115.359902	246899	247735	+	429.9	275
76890at33958	Complete	NODE_2_length_515833_cov_109.460731	424317	423361	-	480.6	305
77149at33958	Duplicated	NODE_1_length_651596_cov_115.359902	421982	422671	+	366.5	225
77149at33958	Duplicated	NODE_1_length_651596_cov_115.359902	499101	499790	+	364.5	225
77206at33958	Complete	NODE_11_length_60639_cov_107.161487	12226	13629	+	659.8	452
77369at33958	Complete	NODE_7_length_113986_cov_103.583132	31025	30060	-	523.7	315
77527at33958	Complete	NODE_2_length_515833_cov_109.460731	72504	73247	+	389.4	237
77549at33958	Complete	NODE_9_length_65232_cov_107.983117	41859	41158	-	432.0	233
77738at33958	Complete	NODE_2_length_515833_cov_109.460731	90384	89743	-	280.9	209
78221at33958	Complete	NODE_3_length_404174_cov_108.718135	186429	186061	-	194.5	121
78287at33958	Complete	NODE_1_length_651596_cov_115.359902	643277	643822	+	309.0	180
78590at33958	Duplicated	NODE_3_length_404174_cov_108.718135	361120	360284	-	438.1	276
78590at33958	Duplicated	NODE_4_length_348303_cov_114.329901	303879	302179	-	376.4	260
78793at33958	Complete	NODE_11_length_60639_cov_107.161487	37270	34910	-	1201.4	764
78869at33958	Complete	NODE_7_length_113986_cov_103.583132	22336	21551	-	214.9	178
79023at33958	Complete	NODE_1_length_651596_cov_115.359902	641407	641892	+	231.3	158
79273at33958	Duplicated	NODE_2_length_515833_cov_109.460731	513360	514262	+	403.2	287
79273at33958	Duplicated	NODE_3_length_404174_cov_108.718135	184988	185887	+	345.7	282
79715at33958	Complete	NODE_11_length_60639_cov_107.161487	28418	26964	-	377.2	267
79727at33958	Complete	NODE_17_length_14292_cov_110.043405	7584	6556	-	542.6	337
79789at33958	Complete	NODE_7_length_113986_cov_103.583132	26588	25242	-	702.0	446
79945at33958	Complete	NODE_5_length_328887_cov_107.457170	162032	161022	-	457.0	331
79953at33958	Complete	NODE_3_length_404174_cov_108.718135	368770	368411	-	211.5	117
79954at33958	Complete	NODE_2_length_515833_cov_109.460731	468115	465704	-	1220.3	799
80917at33958	Complete	NODE_2_length_515833_cov_109.460731	275634	274687	-	348.0	272
80960at33958	Complete	NODE_2_length_515833_cov_109.460731	185245	187551	+	921.7	605
81142at33958	Complete	NODE_6_length_211744_cov_108.724426	83130	83732	+	259.8	177
81288at33958	Complete	NODE_2_length_515833_cov_109.460731	511596	510382	-	441.1	401
81386at33958	Complete	NODE_2_length_515833_cov_109.460731	22933	23937	+	463.4	324
81398at33958	Complete	NODE_2_length_515833_cov_109.460731	457127	455001	-	964.4	660
81582at33958	Complete	NODE_9_length_65232_cov_107.983117	7201	6407	-	275.6	248
81618at33958	Complete	NODE_2_length_515833_cov_109.460731	497101	495740	-	478.3	448
81757at33958	Complete	NODE_1_length_651596_cov_115.359902	241607	241395	-	110.4	67
81760at33958	Complete	NODE_9_length_65232_cov_107.983117	43933	43136	-	350.3	262
81918at33958	Complete	NODE_2_length_515833_cov_109.460731	318372	317782	-	254.7	184
82050at33958	Complete	NODE_5_length_328887_cov_107.457170	283878	282949	-	368.3	291
82430at33958	Complete	NODE_7_length_113986_cov_103.583132	23940	23485	-	150.6	119
82817at33958	Complete	NODE_5_length_328887_cov_107.457170	224084	223761	-	133.8	77
